STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.187164272 0.01
uR 354.269018 0.0 0.1824797 0.01
uR 357.561463 0.0 0.176171143 0.01
uR 360.853576 0.0 0.171580262 0.01
uR 364.145357 0.0 0.167801374 0.01
uR 367.436805 0.0 0.166114928 0.01
uR 370.72792 0.0 0.169113054 0.01
uR 374.018704 0.0 0.170705809 0.01
uR 377.309154 0.0 0.176108682 0.01
uR 380.599273 0.0 0.183291693 0.01
uR 383.889059 0.0 0.190724547 0.01
uR 387.178512 0.0 0.199219238 0.01
uR 390.467634 0.0 0.209431605 0.01
uR 393.756422 0.0 0.218082448 0.01
uR 397.044879 0.0 0.228638351 0.01
uR 400.333003 0.0 0.240787008 0.01
uR 403.620794 0.0 0.252311056 0.01
uR 406.908253 0.0 0.262866958 0.01
uR 410.19538 0.0 0.271736415 0.01
uR 413.482174 0.0 0.278419738 0.01
uR 416.768636 0.0 0.284540912 0.01
uR 420.054765 0.0 0.28897564 0.01
uR 423.340563 0.0 0.293160525 0.01
uR 426.626027 0.0 0.295003123 0.01
uR 429.911159 0.0 0.295658963 0.01
uR 433.195959 0.0 0.295690194 0.01
uR 436.480426 0.0 0.294503435 0.01
uR 439.764561 0.0 0.292161149 0.01
uR 443.048364 0.0 0.290537164 0.01
uR 446.331834 0.0 0.286602124 0.01
uR 449.614972 0.0 0.283541537 0.01
uR 452.897777 0.0 0.280293567 0.01
uR 456.18025 0.0 0.276389756 0.01
uR 459.46239 0.0 0.2733604 0.01
uR 462.744198 0.0 0.270924422 0.01
uR 466.025674 0.0 0.269050593 0.01
uR 469.306817 0.0 0.267895066 0.01
uR 472.587628 0.0 0.267114304 0.01
uR 475.868106 0.0 0.26755153 0.01
uR 479.148252 0.0 0.269519051 0.01
uR 482.428066 0.0 0.271830106 0.01
uR 485.707547 0.0 0.274266084 0.01
uR 488.986696 0.0 0.279450344 0.01
uR 492.265512 0.0 0.284166146 0.01
uR 495.543996 0.0 0.290037477 0.01
uR 498.822147 0.0 0.2967208 0.01
uR 502.099966 0.0 0.303154279 0.01
uR 505.377453 0.0 0.310337289 0.01
uR 508.654607 0.0 0.317645222 0.01
uR 511.931429 0.0 0.32404747 0.01
uR 515.207918 0.0 0.331730169 0.01
uR 518.484075 0.0 0.338101187 0.01
uR 521.7599 0.0 0.345284197 0.01
uR 525.035392 0.0 0.350780762 0.01
uR 528.310551 0.0 0.356246096 0.01
uR 531.585379 0.0 0.361586508 0.01
uR 534.859874 0.0 0.366489694 0.01
uR 538.134036 0.0 0.370861961 0.01
uR 541.407866 0.0 0.375702686 0.01
uR 544.681364 0.0 0.378700812 0.01
uR 547.954529 0.0 0.381449094 0.01
uR 551.227362 0.0 0.383728919 0.01
uR 554.499862 0.0 0.386508432 0.01
uR 557.77203 0.0 0.387476577 0.01
uR 561.043866 0.0 0.38766396 0.01
uR 564.315369 0.0 0.388444722 0.01
uR 567.58654 0.0 0.388600874 0.01
uR 570.857378 0.0 0.388788257 0.01
uR 574.127884 0.0 0.387726421 0.01
uR 577.398057 0.0 0.386570893 0.01
uR 580.667898 0.0 0.385477826 0.01
uR 583.937407 0.0 0.384572142 0.01
uR 587.206583 0.0 0.383728919 0.01
uR 590.475427 0.0 0.380918176 0.01
uR 593.743938 0.0 0.379762648 0.01
uR 597.012117 0.0 0.376951905 0.01
uR 600.279964 0.0 0.375171768 0.01
uR 603.547478 0.0 0.372798251 0.01
uR 606.81466 0.0 0.370081199 0.01
uR 610.081509 0.0 0.36820737 0.01
uR 613.348026 0.0 0.365021861 0.01
uR 616.61421 0.0 0.363054341 0.01
uR 619.880062 0.0 0.360462211 0.01
uR 623.145582 0.0 0.357307933 0.01
uR 626.410769 0.0 0.355371643 0.01
uR 629.675624 0.0 0.352217364 0.01
uR 632.940147 0.0 0.349562773 0.01
uR 636.204337 0.0 0.347845097 0.01
uR 639.468194 0.0 0.345565272 0.01
uR 642.731719 0.0 0.343660212 0.01
uR 645.994912 0.0 0.342973142 0.01
uR 649.257772 0.0 0.341911305 0.01
uR 652.5203 0.0 0.340755778 0.01
uR 655.782496 0.0 0.340568395 0.01
uR 659.044359 0.0 0.33963148 0.01
uR 662.305889 0.0 0.340505934 0.01
uR 665.567088 0.0 0.341036852 0.01
uR 668.827954 0.0 0.340943161 0.01
uR 672.088487 0.0 0.341817614 0.01
uR 675.348688 0.0 0.342036227 0.01
uR 678.608556 0.0 0.342535915 0.01
uR 681.868093 0.0 0.344409744 0.01
uR 685.127296 0.0 0.345284197 0.01
uR 688.386168 0.0 0.347064335 0.01
uR 691.644707 0.0 0.348376015 0.01
uR 694.902913 0.0 0.349531543 0.01
uR 698.160787 0.0 0.351873829 0.01
uR 701.418329 0.0 0.353716427 0.01
uR 704.675538 0.0 0.355527795 0.01
uR 707.932415 0.0 0.357089319 0.01
uR 711.188959 0.0 0.358213616 0.01
uR 714.445171 0.0 0.360805746 0.01
uR 717.701051 0.0 0.363116802 0.01
uR 720.956598 0.0 0.364865709 0.01
uR 724.211813 0.0 0.366364772 0.01
uR 727.466695 0.0 0.369019363 0.01
uR 730.721245 0.0 0.370612117 0.01
uR 733.975463 0.0 0.372173641 0.01
uR 737.229348 0.0 0.37404747 0.01
uR 740.4829 0.0 0.376014991 0.01
uR 743.736121 0.0 0.377326671 0.01
uR 746.989009 0.0 0.379793879 0.01
uR 750.241564 0.0 0.380356027 0.01
uR 753.493787 0.0 0.382885696 0.01
uR 756.745678 0.0 0.383947533 0.01
uR 759.997236 0.0 0.385883823 0.01
uR 763.248462 0.0 0.387195503 0.01
uR 766.499355 0.0 0.388725796 0.01
uR 769.749916 0.0 0.388507183 0.01
uR 773.000144 0.0 0.390630856 0.01
uR 776.25004 0.0 0.391380387 0.01
uR 779.499604 0.0 0.390693317 0.01
uR 782.748835 0.0 0.392598376 0.01
uR 785.997734 0.0 0.392785759 0.01
uR 789.246301 0.0 0.392254841 0.01
uR 792.494535 0.0 0.393066833 0.01
uR 795.742436 0.0 0.392317302 0.01
uR 798.990006 0.0 0.392629606 0.01
uR 802.237242 0.0 0.392816989 0.01
uR 805.484147 0.0 0.39350406 0.01
uR 808.730719 0.0 0.392410993 0.01
uR 811.976958 0.0 0.391911305 0.01
uR 815.222865 0.0 0.39284822 0.01
uR 818.46844 0.0 0.391911305 0.01
uR 821.713682 0.0 0.391880075 0.01
uR 824.958592 0.0 0.389787633 0.01
uR 828.20317 0.0 0.390349781 0.01
uR 831.447415 0.0 0.387851343 0.01
uR 834.691327 0.0 0.388569644 0.01
uR 837.934907 0.0 0.386695815 0.01
uR 841.178155 0.0 0.385633979 0.01
uR 844.42107 0.0 0.384572142 0.01
uR 847.663653 0.0 0.383853841 0.01
uR 850.905904 0.0 0.382542161 0.01
uR 854.147822 0.0 0.381667708 0.01
uR 857.389408 0.0 0.379512804 0.01
uR 860.630661 0.0 0.377232979 0.01
uR 863.871582 0.0 0.3766396 0.01
uR 867.11217 0.0 0.375890069 0.01
uR 870.352426 0.0 0.372454716 0.01
uR 873.59235 0.0 0.371580262 0.01
uR 876.831941 0.0 0.36945659 0.01
uR 880.0712 0.0 0.370986883 0.01
uR 883.310126 0.0 0.367489069 0.01
uR 886.54872 0.0 0.364709557 0.01
uR 889.786982 0.0 0.362460962 0.01
uR 893.024911 0.0 0.362273579 0.01
uR 896.262508 0.0 0.36102436 0.01
uR 899.499772 0.0 0.357276702 0.01
uR 902.736704 0.0 0.355590256 0.01
uR 905.973303 0.0 0.352404747 0.01
uR 909.209571 0.0 0.35193629 0.01
uR 912.445505 0.0 0.350499688 0.01
uR 915.681107 0.0 0.34934416 0.01
uR 918.916377 0.0 0.347220487 0.01
uR 922.151315 0.0 0.347220487 0.01
uR 925.38592 0.0 0.343379138 0.01
uR 928.620192 0.0 0.341505309 0.01
uR 931.854132 0.0 0.338913179 0.01
uR 935.08774 0.0 0.336164897 0.01
uR 938.321015 0.0 0.337195503 0.01
uR 941.553958 0.0 0.334041224 0.01
uR 944.786569 0.0 0.331698938 0.01
uR 948.018847 0.0 0.330480949 0.01
