dispers-library 5
library-id "sio2"
table "Thermal SiO2" 9
9 3
183 1.58 0
190.7 1.567 0
198.4 1.554 0
226.7 1.5228 0
275.3 1.4959 0
330.3 1.4805 0
435.8 1.4667 0
667.8 1.4561 0
1133.6 1.4487 0
library-id "sio2-ho" ho "Thermal SiO2 HO" 1 143.747 15.6982 0 0.3333 0
library-id "silicon-1"
table "Silicon" 108
108 3
187.285 0.818733 2.57585
189.58 0.849639 2.61564
195.56 0.925263 2.71895
204.259 1.02985 2.87728
204.934 1.03811 2.89022
218.284 1.22392 3.16679
218.669 1.23022 3.17531
222.196 1.29136 3.25548
222.595 1.29874 3.26494
225.838 1.36865 3.34786
227.079 1.40523 3.38006
229.178 1.48232 3.41943
230.028 1.51503 3.42614
231.748 1.57192 3.42451
233.494 1.609 3.414
235.266 1.62824 3.40832
236.162 1.63372 3.40934
237.975 1.64061 3.4192
243.108 1.65042 3.48977
249.467 1.66213 3.64692
256.168 1.70111 3.90105
259.927 1.75309 4.08496
266.635 1.93675 4.47579
267.787 1.98293 4.54975
268.366 2.00806 4.58775
270.71 2.12485 4.74734
272.495 2.23513 4.87512
273.698 2.32378 4.96229
274.912 2.42697 5.04743
275.523 2.48413 5.0878
277.372 2.67405 5.19346
278.618 2.8098 5.24877
279.246 2.87854 5.27259
279.876 2.94745 5.29477
281.785 3.15855 5.3586
283.071 3.31178 5.40187
283.719 3.39536 5.42239
285.023 3.57982 5.45481
285.68 3.68072 5.46347
287.669 4.00803 5.4413
289.685 4.33878 5.33031
291.045 4.53767 5.20936
293.109 4.77861 4.98052
293.804 4.84167 4.89756
295.203 4.94283 4.72988
297.327 5.04107 4.48867
299.481 5.09243 4.27318
300.935 5.10961 4.14643
302.403 5.11819 4.03296
304.632 5.12173 3.88522
306.894 5.12032 3.76025
310.74 5.11744 3.59046
314.683 5.12084 3.45501
315.484 5.12258 3.43098
322.878 5.15495 3.24643
328.873 5.19926 3.13179
335.095 5.2603 3.03919
336.003 5.27071 3.02796
343.449 5.37746 2.96
344.403 5.39482 2.95463
345.363 5.4134 2.95007
348.273 5.478 2.94186
349.254 5.5032 2.94122
350.241 5.53073 2.94179
353.234 5.63245 2.95144
354.243 5.67518 2.95715
356.279 5.78014 2.97008
357.306 5.84491 2.97528
358.339 5.9195 2.97738
360.422 6.10081 2.96152
361.473 6.20683 2.93684
362.53 6.32068 2.89622
364.662 6.55679 2.75584
366.82 6.77021 2.53094
369.004 6.92093 2.2381
370.105 6.96472 2.07733
372.328 6.98703 1.75289
374.578 6.93504 1.45204
375.713 6.88849 1.31681
376.855 6.83229 1.19301
379.16 6.70104 0.979455
381.493 6.55704 0.807395
385.047 6.33746 0.613718
386.247 6.26613 0.56338
389.891 6.06356 0.445891
392.358 5.94029 0.389742
393.604 5.88253 0.366762
394.857 5.82738 0.346562
398.666 5.6771 0.298673
403.861 5.50771 0.253021
411.911 5.30053 0.201144
417.459 5.18246 0.17218
424.607 5.05011 0.141138
435.036 4.88652 0.106546
447.6 4.72413 0.0779814
462.631 4.56712 0.0569029
475.039 4.46102 0.0464451
497.933 4.30645 0.0359811
499.94 4.29493 0.0353747
541.42 4.10704 0.0266559
579.37 3.98993 0.0208614
626.188 3.88595 0.0152397
670.19 3.81372 0.0112013
729.325 3.74145 0.00722466
855.07 3.64238 0.00243464
898.443 3.61873 0.00153938
999.881 3.57624 0.00036995
1008.01 3.57344 0.00031878
library-id "vacuum" cauchy "vacuum" 1 0 0 0 0 0
library-id "water" cauchy "water" 1.3197 4677.31 -1.0802e+08 0 0 0
