"Wavelength (nm)"; "Reflectance"
380; 0,340773
380,5; 0,355116
381; 0,370318
381,5; 0,382907
382; 0,39431
382,5; 0,406264
383; 0,416359
383,5; 0,427825
384; 0,441858
384,5; 0,45058
385; 0,458066
385,5; 0,467905
386; 0,470461
386,5; 0,472136
387; 0,480507
387,5; 0,486795
388; 0,488524
388,5; 0,488805
389; 0,492119
389,5; 0,496106
390; 0,497061
390,5; 0,49659
391; 0,496935
391,5; 0,497855
392; 0,494704
392,5; 0,489833
393; 0,486237
393,5; 0,479931
394; 0,472308
394,5; 0,466167
395; 0,459953
395,5; 0,453316
396; 0,445804
396,5; 0,435098
397; 0,423308
397,5; 0,412708
398; 0,400669
398,5; 0,387708
399; 0,375001
399,5; 0,360883
400; 0,346322
400,5; 0,332052
401; 0,315331
401,5; 0,298776
402; 0,284652
402,5; 0,268227
403; 0,250175
403,5; 0,233421
404; 0,218081
404,5; 0,202967
405; 0,18717
405,5; 0,171534
406; 0,157828
406,5; 0,146499
407; 0,134926
407,5; 0,12415
408; 0,11622
408,5; 0,110644
409; 0,105646
409,5; 0,100901
410; 0,099579
410,5; 0,101191
411; 0,103907
411,5; 0,107676
412; 0,113951
412,5; 0,122681
413; 0,130238
413,5; 0,138107
414; 0,148778
414,5; 0,16132
415; 0,175239
415,5; 0,189506
416; 0,20193
416,5; 0,21519
417; 0,230902
417,5; 0,244843
418; 0,257496
418,5; 0,270867
419; 0,284941
419,5; 0,298429
420; 0,31055
420,5; 0,322199
421; 0,333667
421,5; 0,344843
422; 0,35554
422,5; 0,365496
423; 0,374639
423,5; 0,383247
424; 0,391564
424,5; 0,399325
425; 0,405765
425,5; 0,411991
426; 0,418279
426,5; 0,422808
427; 0,426539
427,5; 0,430178
428; 0,432577
428,5; 0,434714
429; 0,437196
429,5; 0,438933
430; 0,439549
430,5; 0,439102
431; 0,437851
431,5; 0,436265
432; 0,434494
432,5; 0,432216
433; 0,429378
433,5; 0,425836
434; 0,421322
434,5; 0,416252
435; 0,410993
435,5; 0,40558
436; 0,40009
436,5; 0,393789
437; 0,385631
437,5; 0,377793
438; 0,370412
438,5; 0,361048
439; 0,351294
439,5; 0,342029
440; 0,332228
440,5; 0,321737
441; 0,310546
441,5; 0,298727
442; 0,287166
442,5; 0,27565
443; 0,263156
443,5; 0,250527
444; 0,238051
444,5; 0,225251
445; 0,212389
445,5; 0,199483
446; 0,18626
446,5; 0,172788
447; 0,159611
447,5; 0,14731
448; 0,135491
448,5; 0,123653
449; 0,111761
449,5; 0,100879
450; 0,091002
450,5; 0,081546
451; 0,073035
451,5; 0,065596
452; 0,059067
452,5; 0,053662
453; 0,049362
453,5; 0,046031
454; 0,043748
454,5; 0,04259
455; 0,042583
455,5; 0,043689
456; 0,045915
456,5; 0,049294
457; 0,053805
457,5; 0,059227
458; 0,065367
458,5; 0,072307
459; 0,07997
459,5; 0,088333
460; 0,097593
460,5; 0,107335
461; 0,117281
461,5; 0,127854
462; 0,138821
462,5; 0,149766
463; 0,160569
463,5; 0,171416
464; 0,182609
464,5; 0,194282
465; 0,205507
465,5; 0,216008
466; 0,226803
466,5; 0,237657
467; 0,247997
467,5; 0,257619
468; 0,267159
468,5; 0,276825
469; 0,286082
469,5; 0,29497
470; 0,303441
470,5; 0,311273
471; 0,318879
471,5; 0,326459
472; 0,333759
472,5; 0,340412
473; 0,346567
473,5; 0,352617
474; 0,357977
474,5; 0,362767
475; 0,36755
475,5; 0,371652
476; 0,375231
476,5; 0,378959
477; 0,382359
477,5; 0,385208
478; 0,387663
478,5; 0,389927
479; 0,391941
479,5; 0,393519
480; 0,394598
480,5; 0,395142
481; 0,395248
481,5; 0,395268
482; 0,395127
482,5; 0,394549
483; 0,393439
483,5; 0,391918
484; 0,390214
484,5; 0,388511
485; 0,386559
485,5; 0,383977
486; 0,38062
486,5; 0,377125
487; 0,373789
487,5; 0,370001
488; 0,365836
488,5; 0,361453
489; 0,356743
489,5; 0,351685
490; 0,346309
490,5; 0,340673
491; 0,33485
491,5; 0,328792
492; 0,32235
492,5; 0,315566
493; 0,308415
493,5; 0,300837
494; 0,293092
494,5; 0,28519
495; 0,276967
495,5; 0,268691
496; 0,26039
496,5; 0,251837
497; 0,242889
497,5; 0,233602
498; 0,224191
498,5; 0,214903
499; 0,20562
