"Wavelength (nm)"	"Reflectance"
380	0,491894
380,5	0,488264
381	0,478477
381,5	0,470549
382	0,464403
382,5	0,457335
383	0,450293
383,5	0,444062
384	0,437928
384,5	0,429335
385	0,419549
385,5	0,411381
386	0,406055
386,5	0,399362
387	0,388445
387,5	0,377924
388	0,36923
388,5	0,361623
389	0,354341
389,5	0,347342
390	0,340855
390,5	0,33474
391	0,327621
391,5	0,318851
392	0,310315
392,5	0,302515
393	0,295171
393,5	0,288231
394	0,281421
394,5	0,274556
395	0,2678
395,5	0,260431
396	0,25246
396,5	0,246159
397	0,241951
397,5	0,238489
398	0,233504
398,5	0,227615
399	0,222474
399,5	0,218468
400	0,215159
400,5	0,212371
401	0,211006
401,5	0,210268
402	0,209143
402,5	0,208101
403	0,20741
403,5	0,207107
404	0,207132
404,5	0,206992
405	0,206813
405,5	0,208137
406	0,210574
406,5	0,213241
407	0,216337
407,5	0,219204
408	0,221429
408,5	0,223971
409	0,227193
409,5	0,230842
410	0,234341
410,5	0,237987
411	0,242122
411,5	0,246411
412	0,251227
412,5	0,256741
413	0,262061
413,5	0,266488
414	0,270215
414,5	0,274602
415	0,279779
415,5	0,285419
416	0,291466
416,5	0,29737
417	0,302675
417,5	0,307557
418	0,312507
418,5	0,317636
419	0,32231
419,5	0,326652
420	0,331167
420,5	0,336235
421	0,341264
421,5	0,345835
422	0,350435
422,5	0,355284
423	0,360216
423,5	0,364757
424	0,368829
424,5	0,372561
425	0,376137
425,5	0,379773
426	0,383536
426,5	0,387256
427	0,390777
427,5	0,394001
428	0,396921
428,5	0,399686
429	0,402403
429,5	0,405015
430	0,407313
430,5	0,4093
431	0,411321
431,5	0,413659
432	0,416211
432,5	0,418476
433	0,420289
433,5	0,421556
434	0,42223
434,5	0,422782
435	0,423608
435,5	0,424746
436	0,425843
436,5	0,426458
437	0,4264
437,5	0,426465
438	0,427018
438,5	0,427587
439	0,427469
439,5	0,426555
440	0,425458
440,5	0,424964
441	0,42489
441,5	0,424334
442	0,423449
442,5	0,422548
443	0,421751
443,5	0,420835
444	0,419616
444,5	0,418116
445	0,416694
445,5	0,41532
446	0,413708
446,5	0,412012
447	0,410194
447,5	0,408133
448	0,406127
448,5	0,404102
449	0,401801
