SE PSI DELTA
AOI	 75.7
SE 239.986	0.73023	-0.026679
SE 240.1	0.744085	-0.0293415
SE 240.215	0.730744	-0.0255897
SE 240.33	0.748855	-0.00132448
SE 240.445	0.722263	-0.00932252
SE 240.56	0.733533	0.0168161
SE 240.675	0.752457	0.0341169
SE 240.79	0.743894	0.0324467
SE 240.906	0.752799	0.045503
SE 241.021	0.760609	0.0392091
SE 241.137	0.768353	0.0407879
SE 241.253	0.777859	0.0409414
SE 241.37	0.767528	0.0666402
SE 241.486	0.781977	0.0785447
SE 241.603	0.776141	0.0985024
SE 241.72	0.770349	0.0779566
SE 241.837	0.779282	0.0865233
SE 241.954	0.792033	0.0912382
SE 242.071	0.787584	0.0997047
SE 242.189	0.801213	0.115431
SE 242.307	0.811926	0.0959279
SE 242.424	0.806811	0.107068
SE 242.543	0.810619	0.110825
SE 242.661	0.820442	0.132654
SE 242.779	0.813879	0.120713
SE 242.898	0.817616	0.126419
SE 243.017	0.818853	0.131757
SE 243.136	0.823375	0.129
SE 243.255	0.825635	0.144054
SE 243.375	0.82117		0.14753
SE 243.494	0.841068	0.1604
SE 243.614	0.853704	0.143493
SE 243.734	0.851076	0.160747
SE 243.854	0.852928	0.164089
SE 243.975	0.861559	0.158824
SE 244.095	0.855978	0.15107
SE 244.216	0.863684	0.170334
SE 244.337	0.861616	0.171842
SE 244.458	0.870426	0.16925
SE 244.579	0.878993	0.176996
SE 244.701	0.88013		0.166224
SE 244.823	0.878951	0.185499
SE 244.945	0.892651	0.169955
SE 245.067	0.896997	0.176233
SE 245.189	0.893891	0.167469
SE 245.311	0.900732	0.176401
SE 245.434	0.906397	0.182607
SE 245.557	0.923429	0.176659
SE 245.68	0.923997	0.168007
SE 245.803	0.934173	0.177512
SE 245.927	0.928719	0.173068
SE 246.051	0.934357	0.174499
SE 246.175	0.936556	0.164773
SE 246.299	0.942628	0.176055
SE 246.423	0.951112	0.170274
SE 246.548	0.963464	0.171129
SE 246.672	0.960538	0.155317
SE 246.797	0.969928	0.160076
SE 246.922	0.969303	0.160037
SE 247.048	0.985888	0.15673
SE 247.173	1.00322		0.151669
SE 247.299	0.993949	0.147674
SE 247.425	1.0017		0.143733
SE 247.551	1.00896		0.136037
SE 247.677	1.02212		0.129893
