SE ALPHA BETA
AOI	 71.5921
A	 -24.9788
SE 239.935	-0.642861	-0.682393
SE 240.628	-0.665581	-0.667417
SE 241.32	-0.691168	-0.638267
SE 242.013	-0.722084	-0.614735
SE 242.705	-0.735618	-0.596442
SE 243.397	-0.734268	-0.584132
SE 244.089	-0.697944	-0.594614
SE 244.782	-0.619298	-0.619412
SE 245.474	-0.508252	-0.670479
SE 246.166	-0.364878	-0.725203
SE 246.857	-0.205616	-0.787259
SE 247.549	-0.050646	-0.846075
SE 248.241	0.0929818	-0.884264
SE 248.933	0.207265	-0.912697
SE 249.624	0.290711	-0.919724
SE 250.316	0.337949	-0.90582
SE 251.008	0.349927	-0.881402
SE 251.699	0.332065	-0.844364
SE 252.39	0.28539	-0.794044
SE 253.082	0.224395	-0.740199
SE 253.773	0.158114	-0.681224
SE 254.464	0.0819881	-0.611078
SE 255.155	0.00181736	-0.539564
SE 255.846	-0.0884586	-0.456098
SE 256.537	-0.182744	-0.37305
SE 257.228	-0.283706	-0.283227
SE 257.919	-0.389604	-0.193102
SE 258.61	-0.497929	-0.100102
SE 259.301	-0.604908	-0.0121956
SE 259.991	-0.704891	0.0617262
SE 260.682	-0.789197	0.118972
SE 261.373	-0.853347	0.148741
SE 262.063	-0.897156	0.16188
SE 262.753	-0.913873	0.144441
SE 263.444	-0.904188	0.104517
SE 264.134	-0.872573	0.0517494
SE 264.824	-0.827503	-0.0169962
SE 265.515	-0.76852	-0.0960115
SE 266.205	-0.699564	-0.178088
SE 266.895	-0.631197	-0.248489
SE 267.585	-0.563109	-0.325561
SE 268.275	-0.490949	-0.404301
SE 268.964	-0.420415	-0.471203
SE 269.654	-0.363057	-0.524547
SE 270.344	-0.309557	-0.581731
SE 271.034	-0.253149	-0.632964
SE 271.723	-0.208176	-0.678547
SE 272.413	-0.170932	-0.715798
SE 273.102	-0.133879	-0.754272
SE 273.792	-0.103853	-0.785546
SE 274.481	-0.081296	-0.807703
SE 275.17	-0.059814	-0.827329
SE 275.86	-0.0464355	-0.847684
SE 276.549	-0.0295982	-0.86555
SE 277.238	-0.0188978	-0.874456
SE 277.927	-0.0105637	-0.883065
SE 278.616	0.00443122	-0.890683
SE 279.305	0.0147157	-0.900113
SE 279.994	0.0275798	-0.900773
SE 280.682	0.0446474	-0.9092
SE 281.371	0.061031	-0.913613
SE 282.06	0.074557	-0.916801
SE 282.748	0.090728	-0.915909
SE 283.437	0.103887	-0.923837
SE 284.125	0.122775	-0.918995
SE 284.814	0.140194	-0.922629
SE 285.502	0.155144	-0.922214
SE 286.19	0.174017	-0.91757
SE 286.879	0.193872	-0.916362
SE 287.567	0.21647	-0.911814
SE 288.255	0.244232	-0.900513
SE 288.943	0.286609	-0.888048
SE 289.631	0.331858	-0.869809
SE 290.319	0.387203	-0.848888
SE 291.007	0.448705	-0.822342
SE 291.695	0.514828	-0.791303
SE 292.382	0.587193	-0.755484
SE 293.07	0.652577	-0.714283
SE 293.758	0.711623	-0.669786
SE 294.445	0.756693	-0.623216
SE 295.133	0.783956	-0.581863
SE 295.82	0.793349	-0.5447
SE 296.507	0.782899	-0.515179
SE 297.195	0.755477	-0.490118
SE 297.882	0.720473	-0.472562
SE 298.569	0.681171	-0.455322
SE 299.256	0.640598	-0.441146
SE 299.943	0.597422	-0.425951
SE 300.63	0.560863	-0.412921
SE 301.317	0.524735	-0.395808
SE 302.004	0.489131	-0.376287
SE 302.691	0.457316	-0.35431
SE 303.378	0.425147	-0.332915
SE 304.065	0.39465	-0.306788
SE 304.751	0.364701	-0.277937
SE 305.438	0.336751	-0.247512
SE 306.124	0.30818	-0.216507
SE 306.811	0.279358	-0.179492
SE 307.497	0.252503	-0.142429
SE 308.184	0.221845	-0.10207
SE 308.87	0.194123	-0.0585737
SE 309.556	0.163494	-0.0154114
SE 310.242	0.134042	0.0292541
SE 310.929	0.107559	0.0768843
SE 311.615	0.0830524	0.125044
SE 312.301	0.057201	0.17366
SE 312.987	0.0359162	0.22935
SE 313.672	0.014693	0.290297
SE 314.358	-0.00773464	0.351814
SE 315.044	-0.0269794	0.415813
SE 315.73	-0.050487	0.483368
SE 316.415	-0.0695501	0.54654
SE 317.101	-0.0924081	0.612208
SE 317.786	-0.114455	0.674593
SE 318.472	-0.134844	0.731756
SE 319.157	-0.156382	0.783107
SE 319.843	-0.173381	0.830866
SE 320.528	-0.18854	0.869316
SE 321.213	-0.199331	0.898902
SE 321.898	-0.207378	0.923166
SE 322.584	-0.214278	0.936039
SE 323.269	-0.216025	0.945093
SE 323.954	-0.215785	0.941764
SE 324.639	-0.205998	0.931234
SE 325.323	-0.199801	0.915062
SE 326.008	-0.187363	0.889896
SE 334.222	0.0618214	0.387386
